,Feature_1,Feature_2,Feature_3,Feature_4
0,5.41,4.01,1.75,0.44
1,5.21,3.53,1.5,0.29
2,5.14,3.91,1.49,0.25
3,4.8,3.18,1.49,0.3
4,5.22,3.84,1.95,0.28
5,5.0,3.09,1.41,0.16
6,4.9,3.48,2.0,0.23
7,4.65,3.4,1.28,0.35
8,5.69,4.02,1.29,0.14
9,5.06,3.2,1.52,0.23
10,5.3,3.38,1.43,0.32
11,4.88,3.06,1.55,0.05
12,5.45,3.35,1.68,0.12
13,4.48,3.22,1.49,0.32
14,4.53,3.49,1.28,0.4
15,5.59,4.45,1.42,0.51
16,5.44,3.38,1.38,0.1
17,4.99,3.0,1.53,0.06
18,5.45,3.31,1.54,0.45
19,5.75,3.9,1.21,0.26
20,4.65,3.3,1.4,0.3
21,5.1,3.41,1.61,0.32
22,4.81,3.06,1.58,0.08999999999999998
23,4.77,3.36,1.66,0.17
24,4.35,2.96,1.18,0.26
25,4.89,3.03,1.68,0.26
26,5.06,3.73,1.85,0.39
27,5.43,3.79,1.46,0.26
28,5.07,3.58,1.49,0.45
29,5.09,3.38,1.32,0.36
30,4.95,3.26,1.47,0.12
31,5.02,3.61,1.38,0.21
32,5.8,3.84,1.58,0.27
33,5.1,3.51,1.59,0.5
34,5.07,3.14,1.13,0.18
35,5.1,3.29,1.19,0.16
36,4.85,3.02,1.51,0.16
37,5.41,3.52,1.2400000000000002,0.32
38,5.82,4.29,1.52,0.32
39,4.99,3.21,1.08,0.16
40,4.81,3.29,1.27,0.29
41,5.58,4.18,1.32,0.26
42,5.02,3.22,1.58,-0.01
43,5.07,3.63,1.39,0.28
44,4.91,3.47,1.64,0.5
45,4.68,3.28,1.81,0.11
46,4.71,3.19,1.34,0.29
47,4.98,3.41,1.38,0.08999999999999998
48,5.04,3.46,1.7,0.44
49,5.89,4.05,1.26,0.18
50,5.51,3.84,1.3,0.49
51,5.39,3.81,1.7,0.34
52,4.94,3.35,1.71,0.29
53,5.48,3.99,1.8,0.28
54,4.88,3.08,1.57,0.13
55,5.12,3.7,1.38,0.11
56,4.6,3.2,1.43,0.17
57,5.0,3.27,1.77,0.52
58,5.46,3.38,1.69,0.16
59,4.53,3.68,1.05,0.08
60,5.21,3.81,1.45,0.29
61,5.88,4.11,1.32,0.17
62,4.97,3.03,1.38,0.07
63,4.29,3.27,1.2,0.27
64,4.84,3.01,1.51,0.04
65,4.7,3.21,1.28,0.08
66,4.71,3.41,1.3,0.29
67,4.5,2.39,1.42,0.28
68,4.86,3.09,1.54,0.13
69,4.5,3.51,1.49,0.29
70,4.9,3.41,1.62,0.41
71,5.41,3.79,1.55,0.17
72,5.06,3.63,1.62,0.5
73,5.14,3.6,1.32,0.34
74,4.68,3.28,1.56,0.08999999999999998
75,5.23,3.65,1.47,0.08
76,4.5,3.12,1.28,0.25
77,5.55,3.4,1.21,0.08999999999999998
78,5.22,3.82,1.52,0.13
79,5.02,2.98,1.43,0.17
80,5.16,3.76,1.46,0.39
81,5.06,3.78,1.94,0.5
82,5.78,3.92,1.2400000000000002,0.15
83,5.47,4.16,1.47,0.19
84,4.98,3.21,1.3,0.25
85,4.59,3.2,1.51,0.32
86,4.91,3.05,1.31,0.28
87,4.95,2.93,1.71,0.24
88,4.29,2.96,1.5,0.22
89,4.52,3.11,1.36,0.11
90,4.36,3.04,1.2,0.14
91,5.19,3.77,1.85,0.46
92,5.1,3.41,1.51,0.28
93,5.05,3.31,1.45,0.28
94,4.72,2.98,1.57,0.08
95,5.11,3.4,1.6,0.15
96,4.67,3.23,1.55,0.19
97,5.07,3.51,1.52,0.65
98,5.06,3.83,1.48,0.15
99,4.98,3.09,1.34,0.31
100,4.42,2.97,1.31,0.16
101,5.2,3.42,1.58,0.12
102,5.02,3.06,1.56,0.19
103,5.43,3.61,1.29,0.3
104,5.07,3.48,1.71,0.67
105,5.22,3.6,1.46,0.31
106,5.42,3.38,1.55,0.5
107,4.88,3.36,1.44,0.18
108,5.16,3.57,1.5,0.19
109,5.18,3.49,1.28,0.3
110,4.76,3.02,1.66,0.31
111,5.08,3.68,1.44,0.18
112,5.06,3.33,1.71,0.41
113,4.42,2.99,1.07,0.17
114,5.13,3.88,1.58,0.08999999999999998
115,4.74,3.17,1.3,0.11
116,5.78,3.92,1.2,0.25
117,5.08,3.72,1.49,0.33
118,4.67,3.08,1.28,0.08999999999999998
119,5.53,4.08,1.35,0.13
120,5.49,3.61,1.2400000000000002,0.14
121,4.88,2.91,1.45,0.21
122,5.16,4.18,1.58,-0.02
123,5.47,3.73,1.6,0.22
124,4.47,3.1,1.3,0.1
125,4.49,3.34,1.39,0.2
126,5.31,3.33,1.54,0.49
127,4.93,3.21,1.53,-0.01
128,4.88,3.13,1.62,0.24
129,4.99,3.32,1.4,0.16
130,5.15,3.59,1.44,0.27
131,4.77,3.46,1.9,0.08
132,4.98,3.57,1.45,0.1
133,5.21,3.42,1.49,0.38
134,4.6,3.0,1.55,0.25
135,5.01,3.57,1.62,0.58
136,5.57,4.12,1.46,0.32
137,4.7,2.91,1.33,0.42
138,4.66,3.24,1.62,0.32
139,5.01,3.5,1.41,0.42
140,4.58,3.07,1.56,0.18
141,5.22,3.9,1.49,0.4
142,5.1,3.53,1.45,0.17
143,5.31,3.74,1.39,0.14
144,5.13,3.48,1.39,0.19
145,4.99,3.33,1.59,0.44
146,5.05,3.39,1.6,0.18
147,5.31,3.87,1.82,0.3
148,4.98,3.27,1.14,0.3
149,5.66,3.8,1.59,0.2
150,5.37,3.91,1.35,0.43
151,5.1,3.72,1.47,0.28
152,5.0,3.16,1.41,0.07
153,4.31,3.07,1.28,0.25
154,5.06,3.51,1.49,0.25
155,5.39,3.36,1.56,0.47
156,4.29,2.91,1.02,-0.01
157,4.84,3.22,1.59,0.18
158,4.35,3.14,1.25,0.15
159,5.37,3.44,1.39,0.45
160,4.6,3.09,1.38,0.31
161,4.42,2.95,1.34,0.08999999999999998
162,5.19,3.74,1.48,0.11
163,4.89,3.24,1.23,0.23
164,5.04,3.34,1.51,0.36
165,4.81,2.93,1.48,0.27
166,4.61,3.56,1.06,0.27
167,5.16,3.7,1.78,0.43
168,5.34,3.91,1.59,0.41
169,5.38,3.82,1.8,0.31
170,5.5,3.39,1.59,0.49
171,5.12,3.42,1.7,0.5
172,4.96,3.17,1.45,0.03
173,5.12,3.31,1.41,0.22
174,4.88,3.44,1.49,0.39
175,5.04,3.83,1.96,0.52
176,5.63,4.37,1.45,0.28
177,5.01,3.3,1.61,0.48
178,4.52,3.22,1.57,0.31
179,4.99,3.8,1.49,0.36
